time_s,solver_dt_s,ggg_Tavg_K,cold_stage_Tavg_K,sample_Tavg_K,support_1_heat_leak_W,support_2_heat_leak_W,switch_heat_flow_W,newton_iterations,trajectory_validation_state
590.0,2.0,2.0092632738575245,2.009112450997817,2.009112569508037,2.2043089485249326e-06,2.229610719877173e-06,0.00012658580406419443,2,NOT_PERFORMED
592.0,2.0,2.012819153493043,2.012669369365884,2.0126694871054562,2.2013760603724245e-06,2.226587115805446e-06,0.00012635983020582337,2,NOT_PERFORMED
594.0,2.0,2.016376614684604,2.016227859278749,2.016227976248973,2.1984371064818657e-06,2.2235576467487247e-06,0.00012613375403799112,2,NOT_PERFORMED
596.0,2.0,2.0199356646719555,2.0197879280935513,2.0197880442956637,2.195491661016829e-06,2.220521867442952e-06,0.0001259075751207232,2,NOT_PERFORMED
598.0,2.0,2.023496310726262,2.023349583204395,2.023349698639607,2.192539422178411e-06,2.2174794596538917e-06,0.00012568129301132746,2,NOT_PERFORMED
600.0,2.0,2.0270585601566093,2.026912832043449,2.026912946712927,2.1895801637987325e-06,2.2144301807777005e-06,0.00012545490726550136,2,NOT_PERFORMED
602.0,2.0,2.0306224203141987,2.030477682084153,2.0304777959890417,2.186613705619326e-06,2.2113738355231315e-06,0.0001252284174348833,2,NOT_PERFORMED
604.0,2.0,2.0341878985957322,2.0340441408442858,2.0340442539857038,2.1836399018065274e-06,2.208310265206364e-06,0.00012500182306776733,2,NOT_PERFORMED
606.0,2.0,2.037755002445445,2.037612215887619,2.0376123282666567,2.1806586240892273e-06,2.205239332351255e-06,0.00012477512371037697,2,NOT_PERFORMED
608.0,2.0,2.04132373935749,2.0411819148263795,2.0411820264441136,2.177669766723136e-06,2.2021609219440973e-06,0.00012454831890399958,2,NOT_PERFORMED
610.0,2.0,2.044894116877606,2.0447532453227244,2.044753356180217,2.1746732365348907e-06,2.199074933952841e-06,0.00012432140818742856,2,NOT_PERFORMED
612.0,2.0,2.0484661426046222,2.0483262150902304,2.048326325188513,2.1716689532701597e-06,2.1959812782994154e-06,0.00012409439109500506,2,NOT_PERFORMED
614.0,2.0,2.0520398241916418,2.051900831894996,2.051900941235095,2.16865684388133e-06,2.1928798727505187e-06,0.00012386726715802324,2,NOT_PERFORMED
616.0,2.0,2.055615169347211,2.0554771035567945,2.055477212139712,2.1656368423401003e-06,2.189770640621412e-06,0.00012364003590290557,2,NOT_PERFORMED
618.0,2.0,2.059192185836499,2.059055037950373,2.0590551457771054,2.1626088899603785e-06,2.1866535136675018e-06,0.00012341269685352014,2,NOT_PERFORMED
620.0,2.0,2.0627708814824164,2.0626346430065,2.062634750078016,2.159572931753953e-06,2.183528429884764e-06,0.00012318524952836574,2,NOT_PERFORMED
622.0,2.0,2.0663512641664377,2.0662159267127898,2.0662160330300505,2.1565289160566228e-06,2.1803953301042423e-06,0.0001229576934438951,2,NOT_PERFORMED
624.0,2.0,2.069933341829726,2.0697988971148766,2.0697990026788307,2.1534767952793235e-06,2.1772541609693276e-06,0.00012273002810963407,2,NOT_PERFORMED
626.0,2.0,2.073517122473889,2.0733835623171704,2.0733836671287476,2.1504165241294156e-06,2.1741048701120304e-06,0.00012250225303395674,2,NOT_PERFORMED
628.0,2.0,2.0771026141618885,2.076969930483799,2.0769700345439155,2.147348056831698e-06,2.170947410615982e-06,0.00012227436771937442,2,NOT_PERFORMED
630.0,2.0,2.0806898250192214,2.080558009839904,2.0805581131494697,2.1442713576660632e-06,2.1677817379241277e-06,0.00012204637166432488,2,NOT_PERFORMED
632.0,2.0,2.0842787632344892,2.0841478086720575,2.0841479112319603,2.1411863856207193e-06,2.164607808912124e-06,0.0001218182643637655,2,NOT_PERFORMED
634.0,2.0,2.087869437060447,2.087739335329479,2.0877394371405966,2.1380931057613164e-06,2.161425582826657e-06,0.00012159004530676773,2,NOT_PERFORMED
636.0,2.0,2.0914618548147614,2.0913325982247417,2.091332699287947,2.1349914816148784e-06,2.1582350215811402e-06,0.0001213617139800518,2,NOT_PERFORMED
638.0,2.0,2.095056024880754,2.094927605834551,2.09492770615069,2.1318814768024053e-06,2.15503608644014e-06,0.00012113326986463896,2,NOT_PERFORMED
640.0,2.0,2.0986519557085246,2.098524366700963,2.098524466270883,2.128763060894104e-06,2.1518287422846926e-06,0.00012090471243710515,2,NOT_PERFORMED
642.0,2.0,2.102249655815831,2.1021228894322905,2.1021229882568178,2.125636205336743e-06,2.14861295466342e-06,0.00012067604116967139,2,NOT_PERFORMED
644.0,2.0,2.1058491337889147,2.105723182703842,2.1057232807837982,2.1225008809734033e-06,2.1453886903895874e-06,0.00012044725553029459,2,NOT_PERFORMED
646.0,2.0,2.1094503982831467,2.1093252552586366,2.1093253525948263,2.11935705782088e-06,2.1421559150733288e-06,0.0001202183549824734,2,NOT_PERFORMED
648.0,2.0,2.1130534580239777,2.11292911590841,2.1129292125016184,2.1162047064694643e-06,2.1389145963157345e-06,0.00011998933898347499,2,NOT_PERFORMED
650.0,2.0,2.116658321807902,2.1165347735345903,2.116534869385606,2.1130437991543227e-06,2.1356647038889718e-06,0.00011976020698827344,2,NOT_PERFORMED
652.0,2.0,2.1202649985033646,2.1201422370892775,2.1201423321988693,2.1098743082653736e-06,2.132406210101872e-06,0.00011953095844508562,2,NOT_PERFORMED
654.0,2.0,2.1238734970515414,2.1237515155959485,2.1237516099648754,2.106696208202092e-06,2.1291390827009267e-06,0.00011930159279798075,2,NOT_PERFORMED
656.0,2.0,2.127483826467191,2.127362618150384,2.1273627117793956,2.1035094731374737e-06,2.1258632911759666e-06,0.00011907210948642977,2,NOT_PERFORMED
658.0,2.0,2.1310959958397975,2.1309755539219095,2.130975646811729,2.100314077813419e-06,2.1225788099035833e-06,0.00011884250794461368,2,NOT_PERFORMED
660.0,2.0,2.134710014334509,2.1345903321542625,2.1345904243056313,2.097109998726879e-06,2.1192856136327505e-06,0.00011861278760146776,2,NOT_PERFORMED
662.0,2.0,2.1383258911928515,2.1382069621663553,2.1382070535799746,2.093897208238546e-06,2.1159836773265906e-06,0.00011838294788130049,2,NOT_PERFORMED
664.0,2.0,2.141943635733522,2.1418254533529733,2.141825544029542,2.090675682209396e-06,2.112672968511626e-06,0.00011815298820384435,2,NOT_PERFORMED
666.0,2.0,2.1455632573538574,2.1454458151865547,2.1454459051267696,2.087445399606255e-06,2.1093534662476826e-06,0.0001179229079824245,2,NOT_PERFORMED
668.0,2.0,2.149184765530471,2.1490680572175846,2.149068146422124,2.0842063355661565e-06,2.106025145549414e-06,0.0001176927066260555,2,NOT_PERFORMED
670.0,2.0,2.1528081698202493,2.1526921890757316,2.1526922775452664,2.0809584676615436e-06,2.102687980817725e-06,0.0001174623835377257,2,NOT_PERFORMED
672.0,2.0,2.156433479861143,2.1563182204705122,2.1563183082056963,2.07770177423308e-06,2.099341940381643e-06,0.00011723193811605802,2,NOT_PERFORMED
674.0,2.0,2.160060705373233,2.1599461611925705,2.1599462481940512,2.0744362301044963e-06,2.0959870004106617e-06,0.00011700136975354007,2,NOT_PERFORMED
676.0,2.0,2.1636898561597,2.163576021114548,2.1635761073829554,2.071161809756505e-06,2.092623135403098e-06,0.00011677067783761523,2,NOT_PERFORMED
678.0,2.0,2.167320942107766,2.1672078101920564,2.167207895728018,2.0678784852814097e-06,2.0892503211110928e-06,0.00011653986174999958,2,NOT_PERFORMED
680.0,2.0,2.1709539731896537,2.170841538464701,2.170841623268829,2.0645862321809505e-06,2.0858685290723644e-06,0.00011630892086635005,2,NOT_PERFORMED
682.0,2.0,2.174588959463998,2.1744772160575585,2.1744773001304605,2.061285029997281e-06,2.082477735113715e-06,0.00011607785455812937,2,NOT_PERFORMED
684.0,2.0,2.1782259110765647,2.1781148531818073,2.1781149365240564,2.0579748547883383e-06,2.0790779106944097e-06,0.00011584666218934827,2,NOT_PERFORMED
686.0,2.0,2.1818648382617387,2.181754460136317,2.181754542748504,2.0546556846787616e-06,2.0756690347097755e-06,0.000115615343119505,2,NOT_PERFORMED
688.0,2.0,2.1855057513438805,2.185396047309106,2.1853961291918025,2.0513275033473315e-06,2.0722510868454052e-06,0.00011538389670201223,2,NOT_PERFORMED
690.0,2.0,2.189148660737782,2.1890396251775153,2.189039706331272,2.0479902826872264e-06,2.0688240442263124e-06,0.00011515232228371752,2,NOT_PERFORMED
692.0,2.0,2.192793576949721,2.192685204309394,2.1926852847347575,2.0446439980702284e-06,2.0653878783966147e-06,0.00011492061920562371,2,NOT_PERFORMED
694.0,2.0,2.196440510578842,2.19633279536464,2.1963328750621542,2.0412886265741213e-06,2.061942565035942e-06,0.00011468878680389973,2,NOT_PERFORMED
696.0,2.0,2.2000894298544744,2.199982368209522,2.1999824471808274,2.0379245193318363e-06,2.058488476229051e-06,0.0001144568272693646,2,NOT_PERFORMED
698.0,2.0,2.2037388548066996,2.2036324443762982,2.203632522663059,2.0345650816684808e-06,2.0550397492430903e-06,0.00011422483604432617,2,NOT_PERFORMED
700.0,2.0,2.207388782558148,2.207283017690791,2.2072830952948492,2.031203905158515e-06,2.051589600934373e-06,0.00011399281181797043,2,NOT_PERFORMED
702.0,2.0,2.211039214943462,2.210934090244785,2.2109341671675864,2.0278391882308285e-06,2.048136174601331e-06,0.00011376075449024403,2,NOT_PERFORMED
704.0,2.0,2.2146901537308166,2.214585663851715,2.2145857400946296,2.0244700553631787e-06,2.0446785664529844e-06,0.00011352866395924533,2,NOT_PERFORMED
706.0,2.0,2.2183416006505565,2.2182377402890445,2.2182378158533926,2.021095969139421e-06,2.041216224247392e-06,0.00011329654012411318,2,NOT_PERFORMED
708.0,2.0,2.2219935574102525,2.2218903213148016,2.221890396201865,2.0177165639380935e-06,2.0377487609436564e-06,0.00011306438288538701,2,NOT_PERFORMED
710.0,2.0,2.225646025703895,2.225543408675173,2.2255434828861964,2.014331570735902e-06,2.0342758973129167e-06,0.00011283219214536779,2,NOT_PERFORMED
712.0,2.0,2.229299007217299,2.229197004108891,2.229197077645095,2.01094078082622e-06,2.030797415194322e-06,0.00011259996780629471,2,NOT_PERFORMED
714.0,2.0,2.2329525036315228,2.232851109350025,2.232851182212607,2.0075440250823657e-06,2.02731313073522e-06,0.00011236770976985714,2,NOT_PERFORMED
716.0,2.0,2.2366065166254634,2.2365057261304417,2.2365057983205783,2.0041411671683782e-06,2.023822886757063e-06,0.00011213541793891871,2,NOT_PERFORMED
718.0,2.0,2.2402610478778353,2.2401608561814954,2.2401609277003542,2.000732085910288e-06,2.020326551568736e-06,0.00011190309221486277,2,NOT_PERFORMED
720.0,2.0,2.2439160990694464,2.2438165012365303,2.243816572085256,1.9973166871699055e-06,2.0168240180318107e-06,0.00011167073250031157,2,NOT_PERFORMED
722.0,2.0,2.2475716718846033,2.2474726630319353,2.2474727332116538,1.9938948849167007e-06,2.013315199147378e-06,0.00011143833869684698,2,NOT_PERFORMED
724.0,2.0,2.2512277680120842,2.2511293433080666,2.251129412819906,1.990466606922856e-06,2.009800015423626e-06,0.00011120591070507662,2,NOT_PERFORMED
726.0,2.0,2.2548843891464823,2.2547865438107175,2.2547866126557703,1.987031800140018e-06,2.0062783953302563e-06,0.00011097344842592309,2,NOT_PERFORMED
728.0,2.0,2.2585415369883655,2.2584442662908732,2.25844433447024,1.983590410800368e-06,2.002750269684424e-06,0.00011074095175991411,2,NOT_PERFORMED
730.0,2.0,2.2621992132434423,2.26210251250377,2.262102580018533,1.980142366106867e-06,1.9992155705589445e-06,0.00011050842060643823,2,NOT_PERFORMED
732.0,2.0,2.265857419624539,2.2657612842115014,2.2657613510627277,1.9766876278375523e-06,1.995674235336478e-06,0.00011027585486448067,2,NOT_PERFORMED
734.0,2.0,2.2695161578524763,2.2694205831836824,2.269420649372435,1.9732261529459296e-06,1.9921262248714675e-06,0.00011004325443336444,2,NOT_PERFORMED
736.0,2.0,2.273175429656611,2.2730804111978875,2.2730804767252084,1.9697579032530287e-06,1.9885715036075873e-06,0.00010981061920987548,2,NOT_PERFORMED
738.0,2.0,2.276835236774517,2.2767407700390967,2.2767408349060316,1.966282833384456e-06,1.9850100356684336e-06,0.00010957794909252136,2,NOT_PERFORMED
740.0,2.0,2.28049558095187,2.2804016614997193,2.280401725707292,1.9628009095894793e-06,1.9814417691705615e-06,0.00010934524397702153,2,NOT_PERFORMED
