temperature_K,value_J/(kg-K)
47.7260317876,193.610267041
48.5377660688,196.636985966
49.3633064955,199.709763559
50.2028878856,202.829688101
51.0567490508,205.997851236
51.9251328643,209.215347845
52.8082863305,212.48327597
53.7064606546,215.802736791
54.6199113145,219.174834644
55.5488981334,222.600677103
56.4936853534,226.08137509
57.4545417111,229.618043061
58.4317405137,233.211799218
59.4255597168,236.863765785
60.4362820039,240.575069332
61.4641948659,244.346841139
62.5095906838,248.180217627
63.5727668113,252.076340813
64.6540256597,256.03635884
65.7536747836,260.061426536
66.8720269687,264.152706021
68.0094003204,268.311367366
69.1661183549,272.53858929
70.3425100904,276.835559903
71.5389101413,281.203477478
72.7556588133,285.643551275
73.9931022,290.157002386
75.2515922813,294.745064615
76.5314870238,299.40898539
77.8331504824,304.150026689
79.1569529041,308.969465987
80.5032708329,313.86859722
81.8724872171,318.848731748
83.2649915186,323.911199321
84.6811798231,329.057349047
86.1214549529,334.288550323
87.5862265819,339.606193764
89.0759113517,345.011692088
90.59093299,350.50648096
92.1317224316,356.092019774
93.6987179407,361.76979238
95.2923652356,367.54130772
96.9131176153,373.408100372
98.5614360888,379.371730984
100.237789506,385.43378658
101.942654691,391.59588072
103.676516578,397.859653498
105.439868348,404.226771352
107.233211573,410.698926665
109.057056352,417.277837141
110.911921463,423.965244919
112.798334506,430.762915403
114.716832054,437.67263579
116.667959808,444.696213233
118.652272748,451.835472656
120.670335297,459.092254135
122.722721473,466.468409848
124.81001506,473.965800531
126.932809771,481.586291399
129.091709416,489.331747509
131.287328076,497.204028506
133.520290275,505.20498268
135.791231159,513.336440326
138.100796679,521.600206327
140.44964377,529.998051888
142.838440541,538.531705409
145.267866464,547.20284238
147.73861257,556.013074269
150.251381639,564.963936296
152.806888407,574.056874106
155.405859767,583.293229124
158.049034972,592.67422267
160.737165851,602.200938644
163.47101702,611.874304748
166.251366098,621.695072141
169.079003932,631.663793464
171.954734819,641.78079913
174.879376735,652.04617179
177.85376157,662.459718893
180.87873536,673.020943269
183.955158535,683.729011601
187.083906155,694.582720782
190.265868166,705.580461984
193.501949649,716.72018244
196.793071079,727.999344847
200.140168588,739.414884304
203.544194228,750.96316279
207.006116244,762.639921085
210.52691935,774.440228191
214.107605008,786.358428147
217.749191713,798.388084363
221.452715282,810.521921472
225.219229152,822.751764705
229.049804673,835.068477055
232.945531419,847.461894199
236.907517497,859.920757477
240.936889859,872.432645124
245.034794624,884.983902018
249.202397406,897.559568331
253.440883644,910.143307474
257.751458938,922.717333764
262.135349394,935.262340503
266.593801971,947.757428959
271.128084837,960.180039059
275.739487729,972.505882681
280.429322322,984.708880342
285.198922598,996.761102458
290.049645228,1008.6327163
294.982869957,1020.29193982
300,1031.70500403
