temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
203.544194228,-1237.6989578
207.006116244,-1209.69378503
210.52691935,-1180.20854729
214.107605008,-1149.11514149
217.749191713,-1116.27345058
221.452715282,-1081.53028281
225.219229152,-1044.71822317
229.049804673,-1005.65439026
232.945531419,-964.139090968
236.907517497,-919.954365112
240.936889859,-872.862411357
245.034794624,-822.603885158
249.202397406,-768.896058778
253.440883644,-711.430832675
257.751458938,-649.872586722
262.135349394,-583.855858892
266.593801971,-512.982838079
271.128084837,-436.820656751
275.739487729,-354.898468041
280.429322322,-266.704290747
285.198922598,-171.681604452
290.049645228,-69.2256756853
294.982869957,41.3204054192
300,160.67
