temperature_K,value_J/(kg-K)
32.9319349469,34.5688459552
33.4920481501,36.2315748809
34.0616878752,37.9585369301
34.6410161514,39.7509715383
35.2301977634,41.6100525892
35.8294002989,43.5368816249
36.4387941958,45.5324810053
37.058552791,47.5977870529
37.6888523693,49.7336432206
38.329872214,51.9407933231
38.9817946576,54.219874873
39.6448051339,56.5714125662
40.3190922303,58.9958119591
41.0048477419,61.4933533865
41.7022667261,64.0641861635
42.4115475574,66.7083231204
43.1328919848,69.4256355156
43.8665051882,72.2158483742
44.6125958378,75.0785362962
45.3713761523,78.0131197789
46.1430619604,81.0188620956
46.9278727613,84.0948667708
47.7260317876,87.2400756887
48.5377660688,90.4532678692
49.3633064955,93.7330589433
50.2028878856,97.0779013532
51.0567490508,100.486085301
51.9251328643,103.955740461
52.8082863305,107.48483848
53.7064606546,111.071196248
54.6199113145,114.712479977
55.5488981334,118.406210057
56.4936853534,122.149766686
57.4545417111,125.940396274
58.4317405137,129.775218582
59.4255597168,133.65123458
60.4362820039,137.565334992
61.4641948659,141.514309486
62.5095906838,145.494856475
63.5727668113,149.503593468
64.6540256597,153.537067935
65.7536747836,157.591768617
66.8720269687,161.66413723
68.0094003204,165.750580487
69.1661183549,169.847482391
70.3425100904,173.951216704
71.5389101413,178.058159551
72.7556588133,182.164702063
73.9931022,186.267262997
75.2515922813,190.36230126
76.5314870238,194.446328266
77.8331504824,198.515920049
79.1569529041,202.567729077
80.5032708329,206.598495677
81.8724872171,210.605059031
83.2649915186,214.584367672
84.6811798231,218.533489419
86.1214549529,222.449620699
87.5862265819,226.330095221
89.0759113517,230.172391941
90.59093299,233.97414228
92.1317224316,237.733136581
93.6987179407,241.447329751
95.2923652356,245.114846078
96.9131176153,248.733983208
98.5614360888,252.30321526
100.237789506,255.821195079
101.942654691,259.286755617
103.676516578,262.698910454
105.439868348,266.056853459
107.233211573,269.359957599
109.057056352,272.607772923
110.911921463,275.800023725
112.798334506,278.936604918
114.716832054,282.017577641
116.667959808,285.04316412
118.652272748,288.013741822
120.670335297,290.929836918
122.722721473,293.792117105
124.81001506,296.601383796
126.932809771,299.358563729
129.091709416,302.064700019
131.287328076,304.720942677
133.520290275,307.328538635
135.791231159,309.888821309
138.100796679,312.403199707
140.44964377,314.873147131
142.838440541,317.300189476
145.267866464,319.685893153
147.73861257,322.031852662
150.251381639,324.339677805
152.806888407,326.610980585
155.405859767,328.847361758
158.049034972,331.05039709
160.737165851,333.221623274
163.47101702,335.362523553
166.251366098,337.474513004
169.079003932,339.558923517
171.954734819,341.616988432
174.879376735,343.649826845
177.85376157,345.658427561
180.87873536,347.643632702
183.955158535,349.606120936
187.083906155,351.546390341
190.265868166,353.464740882
193.501949649,355.361256505
196.793071079,357.235786843
200.140168588,359.087928534
203.544194228,360.917006169
207.006116244,362.72205288
210.52691935,364.501790593
214.107605008,366.254609986
217.749191713,367.978550194
221.452715282,369.671278324
225.219229152,371.330068862
229.049804673,372.951783058
232.945531419,374.532848411
236.907517497,376.06923839
240.936889859,377.556452556
245.034794624,378.989497271
249.202397406,380.362867216
253.440883644,381.670527978
257.751458938,382.905899984
262.135349394,384.061844113
266.593801971,385.130649352
271.128084837,386.104022898
275.739487729,386.973083164
280.429322322,387.728356168
285.198922598,388.359775857
290.049645228,388.856688934
294.982869957,389.207864818
300,389.401511397
