temperature_K,value_W/(m-K)
99.8710119426,36.2337000913
101.474481537,36.2028261878
103.103695486,36.1748130946
104.759067125,36.1495817322
106.441016427,36.1270421525
108.149970108,36.1070934749
109.886361733,36.0896238677
111.650631829,36.0745105687
113.443227997,36.0616199604
115.264605024,36.0508076956
117.115224997,36.0419188763
118.995557424,36.0347883008
120.906079351,36.0292407692
122.847275482,36.0250914626
124.819638305,36.0221463986
126.823668212,36.0202029644
128.859873632,36.019050536
130.928771155,36.0184711862
133.030885668,36.0182404885
135.166750481,36.0181284231
137.33690747,36.0179003796
139.541907209,36.0173182775
141.782309113,36.016141792
144.058681579,36.0141297001
146.371602127,36.0110413453
148.721657552,36.0066382226
151.109444071,36.0006856907
153.53556747,35.9929548062
156.000643264,35.9832242863
158.50529685,35.9712826002
161.050163664,35.9569301796
163.635889348,35.9399817589
166.263129905,35.9202688351
168.932551875,35.897642244
171.644832497,35.8719748572
174.400659885,35.8431643829
177.200733199,35.8111362787
180.045762825,35.7758467609
182.936470555,35.7372859148
185.87358977,35.695480893
188.857865625,35.6504992034
191.89005524,35.602452082
194.970927888,35.5514979483
198.101265195,35.4978459465
201.281861338,35.4417595724
204.513523241,35.3835603922
207.797070786,35.3236318696
211.133337019,35.2624233069
214.523168359,35.2004539342
217.967424816,35.1383171593
221.466980207,35.076685035
225.022722379,35.0163129691
228.635553433,34.9580447565
232.306389955,34.9028179861
236.036163245,34.8516699271
239.825819558,34.8057439876
243.67632034,34.7662968705
247.588642474,34.7347065968
251.563778525,34.7124815494
255.602736998,34.7012707647
259.706542587,34.702875719
263.876236439,34.7192639157
268.112876417,34.7525846001
272.417537367,34.8051870543
276.791311394,34.8796419365
281.235308137,34.9787662574
285.75065505,35.1056527182
290.338497688,35.263704199
295,35.4566744577
