time_s,segment,solver_dt_s,ggg_Tavg_K,cold_stage_Tavg_K,sample_Tavg_K,support_1_heat_leak_W,support_2_heat_leak_W,switch_heat_flow_W,newton_iterations,trajectory_validation_state
0.01,0,0.00025,1.099524907464517,1.8454945002314962,1.8507301184025884,0.00015768698225290096,0.00017488068221824878,0.00018333244329167496,4,VALIDATED_BASELINE
0.01025,0,0.00025,1.0995637979596653,1.8205703197172827,1.8255628034439506,0.00015620671058155002,0.000173196616924193,0.00018247929077378226,6,VALIDATED_BASELINE
0.0105,0,0.00025,1.0995982517772258,1.7966918910570164,1.8014526719272939,0.0001546758784671848,0.00017149819489637626,0.00018169553308484656,5,VALIDATED_BASELINE
0.010750000000000001,0,0.00025,1.099628680399535,1.7738202170269677,1.7783602604571596,0.00015310487573773438,0.00016979334037151077,0.00018097440948973583,5,VALIDATED_BASELINE
0.011,0,0.00025,1.0996552640662973,1.7519168516144428,1.756246674978466,0.0001515046267601846,0.00016808768264606173,0.00018030985530183811,5,VALIDATED_BASELINE
0.01125,0,0.00025,1.0996784687372885,1.7309439670215356,1.7350736556877568,0.00014988180748722846,0.0001663861099551498,0.00017969696106628476,6,VALIDATED_BASELINE
0.0115,0,0.00025,1.0996988346380823,1.7108644808949474,1.7148036935721942,0.00014824431450536146,0.00016469312358125625,0.00017913027956750928,4,VALIDATED_BASELINE
0.01175,0,0.00025,1.0997164752609012,1.6916421097026895,1.695400092604155,0.0001465992600802869,0.00016301476665896427,0.00017860552078043993,4,VALIDATED_BASELINE
0.012,0,0.00025,1.0997314946561567,1.6732414117499517,1.6768270131034444,0.00014495519189813456,0.00016135223435038423,0.00017811926067962827,5,VALIDATED_BASELINE
0.01225,0,0.00025,1.0997439883060947,1.655627845689714,1.659049527121277,0.00014331835766131005,0.00015970794629020202,0.00017766851151188495,5,VALIDATED_BASELINE
0.0125,0,0.00025,1.0997540992103152,1.6387678174768627,1.6420336646656135,0.0001416923439436897,0.00015808423770593383,0.00017724995948964207,5,VALIDATED_BASELINE
0.012750000000000001,0,0.00025,1.0997620841180034,1.6226287248215587,1.6257464575179041,0.0001400808449257603,0.00015648305332400774,0.00017686110631668568,4,VALIDATED_BASELINE
0.013000000000000001,0,0.00025,1.0997680495950852,1.6071789884126526,1.6101559718114506,0.0001384881702139846,0.00015490611079626307,0.00017649936047691914,6,VALIDATED_BASELINE
0.01325,0,0.00025,1.099772206222692,1.592388101528959,1.5952313526247766,0.00013691668336444224,0.00015335529556046473,0.00017616208382979242,6,VALIDATED_BASELINE
0.0135,0,0.00025,1.0997746690896237,1.5782264905716665,1.580942706275205,0.0001353567255438644,0.00015183118754579812,0.00017584755075754778,5,VALIDATED_BASELINE
0.01375,0,0.00025,1.0997755171612236,1.5646657834061508,1.5672613263244322,0.0001338277648127054,0.00015033460921171977,0.00017555413766982367,5,VALIDATED_BASELINE
0.014,0,0.00025,1.0997749765257427,1.551678713949736,1.554159632979792,0.0001323360272607293,0.00014886695515570908,0.00017527999857640752,5,VALIDATED_BASELINE
0.01425,0,0.00025,1.0997731566194733,1.5392390661802309,1.5416111143660154,0.00013088121597646266,0.0001474287838377594,0.00017502331954300082,4,VALIDATED_BASELINE
0.0145,0,0.00025,1.0997700850272942,1.527321643055522,1.5295902927346243,0.00012946289048039307,0.00014601953326928718,0.00017478290882420514,5,VALIDATED_BASELINE
0.014750000000000001,0,0.00025,1.0997658716745338,1.515902274527483,1.518072726153261,0.0001280805217901775,0.00014463974626257944,0.00017455766482569058,5,VALIDATED_BASELINE
0.015,0,0.00025,1.0997606478995237,1.5049578175882081,1.507035007845346,0.00012673350937943004,0.00014328917123640828,0.000174346536106023,5,VALIDATED_BASELINE
0.01525,0,0.00025,1.0997544562169976,1.494466115167479,1.496454730840746,0.00012542131207164017,0.0001419672362232254,0.00017414855135866435,6,VALIDATED_BASELINE
0.0155,0,0.00025,1.0997475009109023,1.4844059857343699,1.4863104732172168,0.00012414386036784254,0.00014067360163535868,0.00017396295105949562,5,VALIDATED_BASELINE
0.01575,0,0.00025,1.0997398868627888,1.4747571716664216,1.4765817512986674,0.00012289990034689498,0.00013940787232805848,0.00017378878473299505,4,VALIDATED_BASELINE
0.016,0,0.00025,1.0997316611359227,1.465500314832813,1.4672489915896993,0.00012168880643333916,0.00013817017315912334,0.00017362526592554822,5,VALIDATED_BASELINE
0.01625,0,0.00025,1.0997229065377294,1.4566169150808956,1.4582934899935422,0.00012051020265668169,0.00013695821241536694,0.000173471749343442,6,VALIDATED_BASELINE
0.0165,0,0.00025,1.0997137843049845,1.448089325789781,1.4496974035049857,0.00011936334350919177,0.00013577265047768554,0.00017332770411554243,6,VALIDATED_BASELINE
0.01675,0,0.00025,1.0997042932421581,1.4399007235308101,1.44144372139174,0.00011824735930460519,0.00013461382693310598,0.0001731923599972142,4,VALIDATED_BASELINE
0.017,0,0.00025,1.099694457030961,1.432035061115024,1.4335162196710942,0.00011716179951186645,0.00013347887079807945,0.00017306516375357987,5,VALIDATED_BASELINE
0.01725,0,0.00025,1.0996843845789133,1.4244770814581116,1.4258994686902717,0.00011610567602342649,0.0001323702222383504,0.00017294558689944764,6,VALIDATED_BASELINE
0.0175,0,0.00025,1.0996741907962446,1.417212273525968,1.4185787939984154,0.00011507813625940626,0.0001312876224260353,0.0001728332659301957,5,VALIDATED_BASELINE
0.017750000000000002,0,0.00025,1.099663867846512,1.41022682206177,1.4115402274135067,0.00011407824683144257,0.00013023014515721495,0.00017272762029445617,5,VALIDATED_BASELINE
0.018000000000000002,0,0.00025,1.0996534071816602,1.4035075843067966,1.4047704809430013,0.00011310519097736681,0.00012919707252628432,0.00017262821008544692,5,VALIDATED_BASELINE
0.01825,0,0.00025,1.0996427997717662,1.397042063492129,1.3982569197969514,0.00011215815899334538,0.00012818804179118287,0.00017253464379398732,5,VALIDATED_BASELINE
0.0185,0,0.00025,1.099632056273862,1.3908183755785695,1.3919875296773965,0.00011123638946667623,0.00012720205388921368,0.00017244656388123758,5,VALIDATED_BASELINE
0.01875,0,0.00025,1.099621214735684,1.384825221304437,1.3859508881010756,0.00011033905042674508,0.00012623845755538565,0.00017236363932340146,6,VALIDATED_BASELINE
0.019,0,0.00025,1.099610265599814,1.3790518655939294,1.3801361424915748,0.00010946535295976523,0.00012529692065375728,0.00017228557482826482,4,VALIDATED_BASELINE
0.01925,0,0.00025,1.099599202407294,1.3734881570411444,1.3745330255572084,0.00010861936996997258,0.00012437656865562385,0.0001722120904025106,4,VALIDATED_BASELINE
0.0195,0,0.00025,1.0995880237816236,1.368124411868634,1.3691317524117275,0.00010779790503166754,0.0001234766372007598,0.00017214292356444456,6,VALIDATED_BASELINE
0.01975,0,0.00025,1.099576720012838,1.362951421838802,1.363923016561474,0.00010699897859379699,0.0001225965050169118,0.00017207783079625482,5,VALIDATED_BASELINE
0.02,0,0.00025,1.0995652813461867,1.357960449174885,1.3588979850777874,0.00010622187600823423,0.00012173554346687914,0.00017201658480210693,5,VALIDATED_BASELINE
0.02025,0,0.00025,1.0995536980218872,1.3531431961489848,1.3540482707059323,0.00010546539091979653,0.00012089314833352549,0.00017195897474146788,4,VALIDATED_BASELINE
0.0205,0,0.00025,1.0995419601970908,1.3484917853904388,1.349365911255795,0.00010472856378283571,0.00012006873517616558,0.00017190480056224536,5,VALIDATED_BASELINE
0.02075,0,0.00025,1.0995300988755976,1.343998745741974,1.3448433543200486,0.00010401051453482764,0.00011926174339373586,0.0001718538783835416,4,VALIDATED_BASELINE
0.021,0,0.00025,1.099518150651162,1.3396569885531076,1.340473434736303,0.00010331043100680918,0.00011847163562971257,0.0001718060368373292,5,VALIDATED_BASELINE
0.02125,0,0.00025,1.0995061029656141,1.3354597838508782,1.336249351026543,0.00010262755884791741,0.00011769794944594113,0.00017176111686289424,5,VALIDATED_BASELINE
0.021500000000000002,0,0.00025,1.0994939761110956,1.3314007438644464,1.3321646476647515,0.000101961194627523,0.0001169401922166382,0.00017171897025404666,5,VALIDATED_BASELINE
0.021750000000000002,0,0.00025,1.099481761736131,1.327473803559317,1.3282131958204526,0.00010131066501463653,0.00011619786299086555,0.00017167944972266153,5,VALIDATED_BASELINE
0.022,0,0.00025,1.0994694523908715,1.3236731932880523,1.3243891668791352,0.00010067534371937026,0.00011546991049732325,0.00017164242796185634,5,VALIDATED_BASELINE
0.02225,0,0.00025,1.099457048342255,1.3199934282849501,1.3206870199532497,0.00010005476564322451,0.00011475563719236229,0.00017160778266389414,6,VALIDATED_BASELINE
